epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.03285,2.11214,3.43633,2.272,0.05188,0.8646,0.09968,0.03627,1.73628,3.16712,2.3965,7.145e-05,7.145e-05,7.145e-05
2,6.9185,1.85295,2.61955,2.0334,0.44916,0.57902,0.54933,0.31946,1.29456,3.22914,1.82362,0.000152003,0.000152003,0.000152003
3,9.67206,1.31285,2.04571,1.57745,0.6206,0.6437,0.63478,0.41809,1.06999,1.97411,1.40253,0.000226897,0.000226897,0.000226897
4,12.3246,1.12671,1.48913,1.38765,0.66651,0.65639,0.72777,0.49262,1.18611,1.75587,1.48559,0.000296132,0.000296132,0.000296132
5,15.5397,1.02053,1.19185,1.30765,0.77669,0.73258,0.83599,0.51298,1.30362,2.64736,1.56337,0.000359708,0.000359708,0.000359708
6,18.3189,1.03587,1.18701,1.28317,0.88423,0.81663,0.90327,0.6571,0.95234,1.2214,1.29162,0.000417625,0.000417625,0.000417625
7,21.0495,0.9928,1.06999,1.26149,0.82662,0.8263,0.87828,0.62475,1.03531,1.46229,1.39397,0.000469884,0.000469884,0.000469884
8,23.4411,0.88761,0.96772,1.1594,0.87579,0.8682,0.92788,0.69194,0.93836,1.1131,1.29598,0.000516483,0.000516483,0.000516483
9,25.9187,1.0487,1.04489,1.33016,0.88962,0.88777,0.93687,0.60892,1.06384,1.04819,1.37394,0.000557424,0.000557424,0.000557424
10,28.2677,0.97114,0.97089,1.19778,0.88026,0.87248,0.93503,0.65936,1.02073,1.0715,1.34004,0.000592706,0.000592706,0.000592706
11,30.6962,0.97295,0.88969,1.18661,0.88182,0.87289,0.9248,0.62395,1.17799,1.21868,1.44888,0.00062233,0.00062233,0.00062233
12,33.1108,0.98522,0.87166,1.22098,0.85545,0.91063,0.92655,0.65444,1.06025,1.01608,1.33399,0.000646294,0.000646294,0.000646294
13,35.6967,0.92597,0.83704,1.21585,0.84347,0.95559,0.95728,0.73662,0.85975,1.08006,1.1984,0.000664599,0.000664599,0.000664599
14,38.1832,0.89738,0.77279,1.1436,0.88953,0.96371,0.96805,0.73773,0.88836,0.81024,1.22743,0.000677246,0.000677246,0.000677246
15,40.7615,0.91656,0.74954,1.17232,0.96183,0.95788,0.97369,0.76017,0.85756,0.68548,1.21965,0.000684234,0.000684234,0.000684234
16,43.2544,0.86009,0.73491,1.16491,0.99345,0.95368,0.98211,0.7721,0.78391,0.62781,1.16324,0.000685563,0.000685563,0.000685563
17,45.8386,0.85341,0.73721,1.1503,0.99345,0.95368,0.98211,0.7721,0.78391,0.62781,1.16324,0.000674488,0.000674488,0.000674488
18,48.3712,0.83484,0.75613,1.14183,0.98388,0.97049,0.98538,0.80285,0.7139,0.59129,1.1126,0.000627331,0.000627331,0.000627331
19,50.7988,0.7692,0.66798,1.09265,0.96961,0.96286,0.98227,0.78427,0.79024,0.60352,1.14721,0.000580174,0.000580174,0.000580174
20,53.1692,0.81593,0.69137,1.11852,0.91892,0.96984,0.93599,0.7251,0.84651,0.68662,1.17593,0.000533017,0.000533017,0.000533017
21,55.5565,0.85754,0.93355,1.25487,0.96172,0.98011,0.98011,0.76905,0.80845,0.58431,1.14678,0.00048586,0.00048586,0.00048586
22,57.8864,0.73052,0.71542,1.12471,0.96569,0.98245,0.97242,0.76194,0.76724,0.55807,1.13245,0.000438703,0.000438703,0.000438703
23,60.2147,0.71691,0.65344,1.1226,0.98346,0.98396,0.98759,0.79046,0.74449,0.54511,1.15511,0.000391546,0.000391546,0.000391546
